database,iam model,model label,scenario,scenario label,scenario key,warming bin,year,market,method,market name,location,impact category,indicator,unit,score per kg H2,impact label,market availability
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')","market for hydrogen, gaseous, low pressure",RER,acidification,accumulated exceedance (AE),mol H+-Eq,0.025219842875177194,Acidification,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'climate change', 'global warming potential (GWP100)')","market for hydrogen, gaseous, low pressure",RER,climate change,global warming potential (GWP100),kg CO2-Eq,4.262561250225327,Climate change — EF 3.1,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')","market for hydrogen, gaseous, low pressure",RER,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),CTUe,27.59929216901875,Ecotoxicity — freshwater,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","market for hydrogen, gaseous, low pressure",RER,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",149.1596877824034,Resource use — energy carriers,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')","market for hydrogen, gaseous, low pressure",RER,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,0.0011210499087250844,Eutrophication — freshwater,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')","market for hydrogen, gaseous, low pressure",RER,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),kg N-Eq,0.0037148602192233903,Eutrophication — marine,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')","market for hydrogen, gaseous, low pressure",RER,eutrophication: terrestrial,accumulated exceedance (AE),mol N-Eq,0.044728465270769076,Eutrophication — terrestrial,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')","market for hydrogen, gaseous, low pressure",RER,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),CTUh,2.387305222761416e-09,Human toxicity — cancer,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')","market for hydrogen, gaseous, low pressure",RER,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),CTUh,1.430563575938645e-07,Human toxicity — non-cancer,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')","market for hydrogen, gaseous, low pressure",RER,ionising radiation: human health,human exposure efficiency relative to u235,kBq U235-Eq,4.1681129988155305,Ionising radiation — human health,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'land use', 'soil quality index')","market for hydrogen, gaseous, low pressure",RER,land use,soil quality index,dimensionless,40.41893751004376,Land use,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')","market for hydrogen, gaseous, low pressure",RER,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,0.00010237167213217693,Resource use — minerals and metals,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')","market for hydrogen, gaseous, low pressure",RER,ozone depletion,ozone depletion potential (ODP),kg CFC-11-Eq,3.2028556506732834e-07,Ozone depletion,available
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,"('EF v3.1', 'particulate matter formation', 'impact on human health')","market for hydrogen, gaseous, low pressure",RER,particulate matter formation,impact on human health,disease incidence,1.588384529142825e-07,Particulate matter,available
