database,iam model,model label,scenario,scenario label,scenario key,warming bin,year,market,market location,provider,provider product,provider unit,provider location,provider key,demand amount,stage,substage,component,classification rule
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '300dda1508314dcfb4b72cc6f458e238')",0.5915049395258205,Production,Production technology,PEM electrolysis,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ea0778b4e4e7418eb8790f49c90b67a2')",1.1653260561495713e-05,Production,Production technology,Biomass gasification,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '163b51af46394904a3083e11f9d339a2')",0.07051346346973338,Production,Production technology,Biomass gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen production, coal gasification, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'd8ec25b66a0040f5960475b93ee333c7')",1.0404696929906888e-05,Production,Production technology,Coal gasification with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen production, steam methane reforming","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '46bfddb2801948c59f24d2aec29eb2ee')",0.2783610188445709,Production,Production technology,Steam methane reforming,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen production, steam methane reforming, with CCS","hydrogen, gaseous, low pressure",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '115307cd34494f56a5092cd70be9eaa7')",0.05959852020238385,Production,Production technology,Steam methane reforming with CCS,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"hydrogen supply, distributed by pipeline","hydrogen, gaseous, from pipeline",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ca4ffb0d3a4b482fae2eaab51db65c2f')",1.0,Distribution,Transport,Pipeline distribution,exact transport activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,compressor assembly for transmission hydrogen pipeline,"compressor, for hydrogen transmission",unit,RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '112e494e7ef44487b1a911412bf8d9f7')",3.227031142305492e-11,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Generic,RER,"market group for electricity, low voltage","electricity, low voltage",kilowatt hour,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '40acecb8c1514449a8f143b4ab49698c')",1.8165538311004639,Distribution,Conversion,Compression (pipeline),pipeline compression input
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity","hydrogen, gaseous, 30 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', '300dda1508314dcfb4b72cc6f458e238')",0.5915049395258205,Production,Production technology,PEM electrolysis,hydrogen production activity
ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full,remind,REMIND,SSP1-PkBudg650,REMIND — SSP1-PkBudg650,remind | SSP1-PkBudg650,<2.0 °C,2030,Transport,EUR,"hydrogen production, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant","hydrogen, gaseous, 25 bar",kilogram,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2030_06-2_full', 'ea0778b4e4e7418eb8790f49c90b67a2')",1.1653260561495713e-05,Production,Production technology,Biomass gasification,hydrogen production activity
