Solids|Coal;market for hard coal
Solids|Biomass;wood pellet production
Solids|Traditional Biomass;wood pellet production
Heat|Biomass;heat and power co-generation, wood chips, 6667 kW
Heat|Coal;heat and power co-generation, hard coal
Heat|Gas;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical
Heat|Geothermal;heat production, deep geothermal
Liquids|Biomass;Ethanol from wheat straw pellets
Liquids|Coal;Diesel production, Fischer Tropsch process, from coal-based hydrogen
Liquids|Hydrogen;Diesel production, Fischer Tropsch process
Liquids|Oil;market for light fuel oil
Liquids|Gas;Liquefied petroleum gas production, from methanol-to-gas process
Hydrogen|Biomass;Hydrogen, from steam reforming of biomass gas, at reforming plant, no CCS/2025
Hydrogen|Coal;Hydrogen, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant
Hydrogen|Gas;Hydrogen, gaseous, 25 bar, from SMR of natural gas
Hydrogen|Electricity;Hydrogen, gaseous, 25 bar, from electrolysis
Gases|Biomass;biogas upgrading - sewage sludge - amine scrubbing - best
Gases|Natural Gas;market for natural gas, high pressure
Gases|Coal;methane, from coal-based hydrogen, with carbon from atmospheric CO2 capture
Gases|Hydrogen;methane, from electrochemical methanation, with carbon from atmospheric CO2 capture
